dataset,method,knn,seed,nmi,ari,acc
texas,struct,0,0,0.0888,0.1064,0.4208
texas,struct,0,1,0.1016,0.1326,0.4098
texas,struct,0,2,0.0712,0.0990,0.3989
texas,struct,0,3,0.0788,0.0946,0.4153
texas,struct,0,4,0.0819,0.1156,0.4153
texas,knn5,5,0,0.2909,0.2173,0.5137
texas,knn5,5,1,0.2949,0.1939,0.4973
texas,knn5,5,2,0.2566,0.1474,0.4973
texas,knn5,5,3,0.2776,0.1871,0.4536
texas,knn5,5,4,0.2767,0.1918,0.4699
cornell,struct,0,0,0.0561,,0.3388
cornell,struct,0,1,0.0553,0.0017,0.3497
cornell,struct,0,2,0.0604,0.0061,0.3279
cornell,struct,0,3,0.0549,0.0002,0.3115
cornell,struct,0,4,0.0658,0.0094,0.3552
cornell,knn5,5,0,0.4334,0.3219,0.5792
cornell,knn5,5,1,0.3962,0.3320,0.5464
cornell,knn5,5,2,0.4330,0.3279,0.5628
cornell,knn5,5,3,0.4345,0.3295,0.5683
cornell,knn5,5,4,0.4575,0.3556,0.5792
wisconsin,struct,0,0,0.0705,0.0166,0.3108
wisconsin,struct,0,1,0.0693,0.0129,0.3028
wisconsin,struct,0,2,0.0697,0.0064,0.3108
wisconsin,struct,0,3,0.0684,0.0169,0.3068
wisconsin,struct,0,4,0.0621,0.0137,0.3068
wisconsin,knn5,5,0,0.3909,0.3369,0.5777
wisconsin,knn5,5,1,0.3681,0.2878,0.5378
wisconsin,knn5,5,2,0.4067,0.2963,0.5418
wisconsin,knn5,5,3,0.4137,0.3087,0.5498
wisconsin,knn5,5,4,0.3965,0.3043,0.5538
